"id","hotel_id","oyo_id","cat_name","hotel_image","new_cat","mrc_id","image_url"
"321204","108764","GHY652","Facade","Frames_Image_xvwjghposshh","FACADE",,"https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/Facade/Frames_Image_xvwjghposshh?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044356Z&X-Amz-SignedHeaders=host&X-Amz-Expires=599&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=2397a91e3df7c3d7e29715d883440139b19bdc45f31a05694023a92b7f39108a"
"321203","108764","GHY652","Facade","Frames_Image_wtywtrvuzmic","FACADE",,"https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/Facade/Frames_Image_wtywtrvuzmic?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=599&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=02c3f4cfc732af576a1458787be0201e47871090f41c4b53756787bceebd66f4"
"321209","108764","GHY652","Reception","Frames_Image_tyktltpahcfg","RECEPTION",,"https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/Reception/Frames_Image_tyktltpahcfg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=599&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=054b4db752b3b4b9ff5913f8e0a71dde68cc65fdde7c6efb892b65c0f7d9fb48"
"321208","108764","GHY652","Reception","Frames_Image_zwpqwfeztsho","RECEPTION",,"https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/Reception/Frames_Image_zwpqwfeztsho?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=600&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=c525f757d2800d5b3d46d1014a6137971574c6ed18a96cb6c7a8b423c47890d0"
"321207","108764","GHY652","Reception","Frames_Image_hdxlfshafbug","RECEPTION",,"https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/Reception/Frames_Image_hdxlfshafbug?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=600&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=f16b3c864900d70c5d4d497e97571d05e353e885d62029b12116bb3c5d3712e6"
"321206","108764","GHY652","Lobby","Frames_Image_jchoedbewrmb","LOBBY",,"https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/Lobby/Frames_Image_jchoedbewrmb?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=600&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=7b41d2d7a59540e2231f1fbc05966b7896dee0d5225650f35fe8e825197c37d5"
"321205","108764","GHY652","Lobby","Frames_Image_pnjxsiuewtda","LOBBY",,"https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/Lobby/Frames_Image_pnjxsiuewtda?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=600&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=080dbfe6c09fc918d9563959010e98f3c50af4fcebf8a6290ef15059fb2df4db"
"321229","108764","GHY652","Washroom","Frames_Image_bfvxmtycaaou","WASHROOM","272950","https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/SPOT%20ON%20NON-AC%20Washroom/Frames_Image_bfvxmtycaaou?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=599&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=f440abb2e31be519c6707cf2412e6da6e35c726f6f55929bf891d93e427a2a37"
"321228","108764","GHY652","Washroom","Frames_Image_vpystddvbtvk","WASHROOM","272950","https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/SPOT%20ON%20NON-AC%20Washroom/Frames_Image_vpystddvbtvk?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=600&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=57e928411ce004a538694094f32330ac2666101dba23ffa66af45e369c2fa4f3"
"321227","108764","GHY652","Washroom","Frames_Image_ftqanxwjnqtf","WASHROOM","272950","https://oyo-transformation.s3-ap-southeast-1.amazonaws.com/photography/14272/SPOT%20ON%20NON-AC%20Washroom/Frames_Image_ftqanxwjnqtf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210216T044357Z&X-Amz-SignedHeaders=host&X-Amz-Expires=599&X-Amz-Credential=AKIAXBBSDNXKACVH3SXG%2F20210216%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Signature=283ba07626ab18c294f064ee80ec6ada4914ea94a7a8c4d23cca571eb97f83a7"
